category,cardNumber,parallel,isAuto,printRun,player
base,001,,false,,vulpix
base,002,,false,,ninetales
base,003,,false,,ho-oh
base,004,,false,,oricorio
base,005,,false,,charcadet
base,007,,false,,sigilyph
base,008,,false,,registeel
base,009,,false,,hoothoot
base,010,,false,,noctowl
base,011,,false,,すごいつりざお
base,012,,false,,テラスタルオーブ
base,013,,false,,ネストボール
base,014,,false,,パーフェクトミキサー
base,015,,false,,ハイパーボール
base,016,,false,,ポケギア3.0
base,017,,false,,ポケモンいれかえ
base,018,,false,,アカマツ
base,019,,false,,ナンジャモ
base,020,,false,,ネモ
base,021,,false,,博士の研究
base,022,,false,,ボスの指令
