category,cardNumber,parallel,isAuto,printRun,player
base,001,,false,,pinsir
base,001,Reverse Holo,false,,pinsir
base,002,,false,,yanma
base,002,Reverse Holo,false,,yanma
base,003,Double rare,false,,yanmega
base,004,,false,,wurmple
base,004,Reverse Holo,false,,wurmple
base,005,,false,,silcoon
base,005,Reverse Holo,false,,silcoon
base,006,,false,,beautifly
base,006,Reverse Holo,false,,beautifly
base,007,,false,,cascoon
base,007,Reverse Holo,false,,cascoon
base,008,,false,,dustox
base,008,Reverse Holo,false,,dustox
base,009,,false,,roselia
base,009,Reverse Holo,false,,roselia
base,010,,false,,roserade
base,010,Reverse Holo,false,,roserade
base,011,,false,,budew
base,011,Reverse Holo,false,,budew
base,012,,false,,shaymin
base,012,Reverse Holo,false,,shaymin
base,013,,false,,dwebble
base,013,Reverse Holo,false,,dwebble
base,014,,false,,crustle
base,014,Reverse Holo,false,,crustle
base,015,,false,,tarountula
base,015,Reverse Holo,false,,tarountula
base,016,,false,,spidops
base,016,Reverse Holo,false,,spidops
base,017,Double rare,false,,ogerpon
base,018,,false,,slugma
base,018,Reverse Holo,false,,slugma
base,019,,false,,magcargo
base,019,Reverse Holo,false,,magcargo
base,020,,false,,entei
base,020,Reverse Holo,false,,entei
base,021,Double rare,false,,ho-oh
base,022,,false,,numel
base,022,Reverse Holo,false,,numel
base,023,,false,,camerupt
base,023,Reverse Holo,false,,camerupt
base,024,,false,,tepig
base,024,Reverse Holo,false,,tepig
base,025,,false,,pignite
base,025,Reverse Holo,false,,pignite
base,026,,false,,emboar
base,026,Reverse Holo,false,,emboar
base,027,,false,,darumaka
base,027,Reverse Holo,false,,darumaka
base,028,,false,,darmanitan
base,028,Reverse Holo,false,,darmanitan
base,029,Double rare,false,,reshiram
base,030,,false,,charcadet
base,030,Reverse Holo,false,,charcadet
base,031,Double rare,false,,ceruledge
base,032,,false,,psyduck
base,032,Reverse Holo,false,,psyduck
base,033,,false,,golduck
base,033,Reverse Holo,false,,golduck
base,034,,false,,articuno
base,034,Reverse Holo,false,,articuno
base,035,,false,,snorunt
base,035,Reverse Holo,false,,snorunt
base,036,Double rare,false,,froslass
base,037,,false,,vanillite
base,037,Reverse Holo,false,,vanillite
base,038,,false,,vanillish
base,038,Reverse Holo,false,,vanillish
base,039,,false,,vanilluxe
base,039,Reverse Holo,false,,vanilluxe
base,040,,false,,snom
base,040,Reverse Holo,false,,snom
base,041,,false,,frosmoth
base,041,Reverse Holo,false,,frosmoth
base,042,,false,,glastrier
base,042,Reverse Holo,false,,glastrier
base,043,,false,,chien-pao
base,043,Reverse Holo,false,,chien-pao
base,044,Double rare,false,,pikachu
base,045,,false,,magnemite
base,045,Reverse Holo,false,,magnemite
base,046,,false,,magneton
base,046,Reverse Holo,false,,magneton
base,047,,false,,tynamo
base,047,Reverse Holo,false,,tynamo
base,048,,false,,eelektrik
base,048,Reverse Holo,false,,eelektrik
base,049,Double rare,false,,eelektross
base,050,,false,,stunfisk
base,050,Reverse Holo,false,,stunfisk
base,051,Double rare,false,,zekrom
base,052,,false,,helioptile
base,052,Reverse Holo,false,,helioptile
base,053,,false,,heliolisk
base,053,Reverse Holo,false,,heliolisk
base,054,,false,,tapu-koko
base,054,Reverse Holo,false,,tapu-koko
base,055,,false,,zeraora
base,055,Reverse Holo,false,,zeraora
