category,cardNumber,parallel,isAuto,printRun,player
base,001,,false,,sewaddle
base,001,Reverse Holo,false,,sewaddle
base,002,,false,,swadloon
base,002,Reverse Holo,false,,swadloon
base,003,,false,,leavanny
base,003,Reverse Holo,false,,leavanny
base,004,,false,,cottonee
base,004,Reverse Holo,false,,cottonee
base,005,Double rare,false,,whimsicott
base,006,,false,,deerling
base,006,Reverse Holo,false,,deerling
base,007,,false,,sawsbuck
base,007,Reverse Holo,false,,sawsbuck
base,008,,false,,shelmet
base,008,Reverse Holo,false,,shelmet
base,009,,false,,accelgor
base,009,Reverse Holo,false,,accelgor
base,010,,false,,virizion
base,010,Reverse Holo,false,,virizion
base,011,,false,,tepig
base,011,Reverse Holo,false,,tepig
base,012,,false,,pignite
base,012,Reverse Holo,false,,pignite
base,013,,false,,emboar
base,013,Reverse Holo,false,,emboar
base,014,,false,,pansear
base,014,Reverse Holo,false,,pansear
base,015,,false,,simisear
base,015,Reverse Holo,false,,simisear
base,016,,false,,heatmor
base,016,Reverse Holo,false,,heatmor
base,017,Double rare,false,,reshiram
base,018,,false,,oshawott
base,018,Reverse Holo,false,,oshawott
base,019,,false,,dewott
base,019,Reverse Holo,false,,dewott
base,020,,false,,samurott
base,020,Reverse Holo,false,,samurott
base,021,,false,,basculin
base,021,Reverse Holo,false,,basculin
base,022,,false,,ducklett
base,022,Reverse Holo,false,,ducklett
base,023,,false,,swanna
base,023,Reverse Holo,false,,swanna
base,024,,false,,vanillite
base,024,Reverse Holo,false,,vanillite
base,025,,false,,vanillish
base,025,Reverse Holo,false,,vanillish
base,026,,false,,vanilluxe
base,026,Reverse Holo,false,,vanilluxe
base,027,Double rare,false,,keldeo
base,028,,false,,blitzle
base,028,Reverse Holo,false,,blitzle
base,029,,false,,zebstrika
base,029,Reverse Holo,false,,zebstrika
base,030,,false,,joltik
base,030,Reverse Holo,false,,joltik
base,031,,false,,galvantula
base,031,Reverse Holo,false,,galvantula
base,032,,false,,stunfisk
base,032,Reverse Holo,false,,stunfisk
base,033,,false,,woobat
base,033,Reverse Holo,false,,woobat
base,034,,false,,swoobat
base,034,Reverse Holo,false,,swoobat
base,035,,false,,sigilyph
base,035,Reverse Holo,false,,sigilyph
base,036,,false,,yamask
base,036,Reverse Holo,false,,yamask
base,037,,false,,cofagrigus
base,037,Reverse Holo,false,,cofagrigus
base,038,,false,,gothita
base,038,Reverse Holo,false,,gothita
base,039,,false,,gothorita
base,039,Reverse Holo,false,,gothorita
base,040,,false,,gothitelle
base,040,Reverse Holo,false,,gothitelle
base,041,,false,,frillish
base,041,Reverse Holo,false,,frillish
base,042,Double rare,false,,jellicent
base,043,,false,,roggenrola
base,043,Reverse Holo,false,,roggenrola
base,044,,false,,boldore
base,044,Reverse Holo,false,,boldore
base,045,,false,,gigalith
base,045,Reverse Holo,false,,gigalith
base,046,,false,,sawk
base,046,Reverse Holo,false,,sawk
base,047,,false,,archen
base,047,Reverse Holo,false,,archen
base,048,,false,,archeops
base,048,Reverse Holo,false,,archeops
base,049,,false,,mienfoo
base,049,Reverse Holo,false,,mienfoo
base,050,,false,,mienshao
base,050,Reverse Holo,false,,mienshao
base,051,,false,,terrakion
base,051,Reverse Holo,false,,terrakion
base,052,,false,,purrloin
base,052,Reverse Holo,false,,purrloin
base,053,,false,,liepard
base,053,Reverse Holo,false,,liepard
base,054,,false,,scraggy
base,054,Reverse Holo,false,,scraggy
base,055,,false,,scrafty
base,055,Reverse Holo,false,,scrafty
base,056,,false,,trubbish
base,056,Reverse Holo,false,,trubbish
base,057,,false,,garbodor
