category,cardNumber,parallel,isAuto,printRun,player
1990 Topps Chrome All-Star Baseball,90ASC-2,Base,false,,Shohei Ohtani
1990 Topps Chrome All-Star Baseball,90ASC-2,Aqua Refractor,false,199,Shohei Ohtani
1990 Topps Chrome All-Star Baseball,90ASC-2,Blue Refractor,false,150,Shohei Ohtani
1990 Topps Chrome All-Star Baseball,90ASC-2,Green Refractor,false,99,Shohei Ohtani
1990 Topps Chrome All-Star Baseball,90ASC-2,Gold Refractor,false,50,Shohei Ohtani
1990 Topps Chrome All-Star Baseball,90ASC-2,Orange Refractor,false,25,Shohei Ohtani
1990 Topps Chrome All-Star Baseball,90ASC-2,Red Refractor,false,5,Shohei Ohtani
1990 Topps Chrome All-Star Baseball,90ASC-2,SuperFractor,false,1,Shohei Ohtani
1990 Topps Chrome All-Star Baseball,90ASC-7,Base,false,,David Ortiz
1990 Topps Chrome All-Star Baseball,90ASC-7,Aqua Refractor,false,199,David Ortiz
1990 Topps Chrome All-Star Baseball,90ASC-7,Blue Refractor,false,150,David Ortiz
1990 Topps Chrome All-Star Baseball,90ASC-7,Green Refractor,false,99,David Ortiz
1990 Topps Chrome All-Star Baseball,90ASC-7,Gold Refractor,false,50,David Ortiz
1990 Topps Chrome All-Star Baseball,90ASC-7,Orange Refractor,false,25,David Ortiz
1990 Topps Chrome All-Star Baseball,90ASC-7,Red Refractor,false,5,David Ortiz
1990 Topps Chrome All-Star Baseball,90ASC-7,SuperFractor,false,1,David Ortiz
1990 Topps Chrome All-Star Baseball,90ASC-7,Base,false,,Ted Williams
1990 Topps Chrome All-Star Baseball,90ASC-7,Aqua Refractor,false,199,Ted Williams
1990 Topps Chrome All-Star Baseball,90ASC-7,Blue Refractor,false,150,Ted Williams
1990 Topps Chrome All-Star Baseball,90ASC-7,Green Refractor,false,99,Ted Williams
1990 Topps Chrome All-Star Baseball,90ASC-7,Gold Refractor,false,50,Ted Williams
1990 Topps Chrome All-Star Baseball,90ASC-7,Orange Refractor,false,25,Ted Williams
