category,cardNumber,parallel,isAuto,printRun,player
Baseball Stars Autographs,BSA2-AG,Base,true,,Andrés Giménez
Baseball Stars Autographs,BSA2-AG,Blue,true,150,Andrés Giménez
Baseball Stars Autographs,BSA2-AG,Gold,true,50,Andrés Giménez
Baseball Stars Autographs,BSA2-AG,Orange,true,25,Andrés Giménez
Baseball Stars Autographs,BSA2-AG,Black,true,10,Andrés Giménez
Baseball Stars Autographs,BSA2-AG,Red,true,5,Andrés Giménez
Baseball Stars Autographs,BSA2-AG,Platinum,true,1,Andrés Giménez
Baseball Stars Autographs,BSA2-AP,Base,true,,Andy Pages
Baseball Stars Autographs,BSA2-AP,Blue,true,150,Andy Pages
Baseball Stars Autographs,BSA2-AP,Gold,true,50,Andy Pages
Baseball Stars Autographs,BSA2-AP,Orange,true,25,Andy Pages
Baseball Stars Autographs,BSA2-AP,Black,true,10,Andy Pages
Baseball Stars Autographs,BSA2-AP,Red,true,5,Andy Pages
Baseball Stars Autographs,BSA2-AP,Platinum,true,1,Andy Pages
Baseball Stars Autographs,BSA2-AS,Base,true,,Alfonso Soriano
Baseball Stars Autographs,BSA2-AS,Blue,true,150,Alfonso Soriano
Baseball Stars Autographs,BSA2-AS,Gold,true,50,Alfonso Soriano
Baseball Stars Autographs,BSA2-AS,Orange,true,25,Alfonso Soriano
Baseball Stars Autographs,BSA2-AS,Black,true,10,Alfonso Soriano
Baseball Stars Autographs,BSA2-AS,Red,true,5,Alfonso Soriano
Baseball Stars Autographs,BSA2-AS,Platinum,true,1,Alfonso Soriano
Baseball Stars Autographs,BSA2-BG,Base,true,,Brett Gardner
Baseball Stars Autographs,BSA2-BG,Blue,true,150,Brett Gardner
Baseball Stars Autographs,BSA2-BG,Gold,true,50,Brett Gardner
Baseball Stars Autographs,BSA2-BG,Orange,true,25,Brett Gardner
Baseball Stars Autographs,BSA2-BG,Black,true,10,Brett Gardner
Baseball Stars Autographs,BSA2-BG,Red,true,5,Brett Gardner
Baseball Stars Autographs,BSA2-BG,Platinum,true,1,Brett Gardner
Baseball Stars Autographs,BSA2-CM,Base,true,,Coby Mayo
Baseball Stars Autographs,BSA2-CM,Blue,true,150,Coby Mayo
Baseball Stars Autographs,BSA2-CM,Gold,true,50,Coby Mayo
Baseball Stars Autographs,BSA2-CM,Orange,true,25,Coby Mayo
Baseball Stars Autographs,BSA2-CM,Black,true,10,Coby Mayo
Baseball Stars Autographs,BSA2-CM,Red,true,5,Coby Mayo
Baseball Stars Autographs,BSA2-CM,Platinum,true,1,Coby Mayo
Baseball Stars Autographs,BSA2-FM,Base,true,,Fred McGriff
Baseball Stars Autographs,BSA2-FM,Blue,true,150,Fred McGriff
Baseball Stars Autographs,BSA2-FM,Gold,true,50,Fred McGriff
Baseball Stars Autographs,BSA2-FM,Orange,true,25,Fred McGriff
Baseball Stars Autographs,BSA2-FM,Black,true,10,Fred McGriff
Baseball Stars Autographs,BSA2-FM,Red,true,5,Fred McGriff
Baseball Stars Autographs,BSA2-FM,Platinum,true,1,Fred McGriff
Baseball Stars Autographs,BSA2-HB,Base,true,,Harrison Bader
Baseball Stars Autographs,BSA2-HB,Blue,true,150,Harrison Bader
Baseball Stars Autographs,BSA2-HB,Gold,true,50,Harrison Bader
