category,cardNumber,parallel,isAuto,printRun,player
City Connect Swatch Collection,CC2-AM,Base,false,,Andrew McCutchen
City Connect Swatch Collection,CC2-AM,Blue,false,150,Andrew McCutchen
City Connect Swatch Collection,CC2-AM,Gold,false,50,Andrew McCutchen
City Connect Swatch Collection,CC2-AM,Orange,false,25,Andrew McCutchen
City Connect Swatch Collection,CC2-AM,Black,false,10,Andrew McCutchen
City Connect Swatch Collection,CC2-AM,Red,false,5,Andrew McCutchen
City Connect Swatch Collection,CC2-AM,Platinum,false,1,Andrew McCutchen
City Connect Swatch Collection,CC2-AU,Base,false,,Adley Rutschman
City Connect Swatch Collection,CC2-AU,Blue,false,150,Adley Rutschman
City Connect Swatch Collection,CC2-AU,Gold,false,50,Adley Rutschman
City Connect Swatch Collection,CC2-AU,Orange,false,25,Adley Rutschman
City Connect Swatch Collection,CC2-AU,Black,false,10,Adley Rutschman
City Connect Swatch Collection,CC2-AU,Red,false,5,Adley Rutschman
City Connect Swatch Collection,CC2-AU,Platinum,false,1,Adley Rutschman
City Connect Swatch Collection,CC2-BB,Base,false,,Bo Bichette
City Connect Swatch Collection,CC2-BB,Blue,false,150,Bo Bichette
City Connect Swatch Collection,CC2-BB,Gold,false,50,Bo Bichette
City Connect Swatch Collection,CC2-BB,Orange,false,25,Bo Bichette
City Connect Swatch Collection,CC2-BB,Black,false,10,Bo Bichette
City Connect Swatch Collection,CC2-BB,Red,false,5,Bo Bichette
City Connect Swatch Collection,CC2-BB,Platinum,false,1,Bo Bichette
City Connect Swatch Collection,CC2-BE,Base,false,,Brooks Lee
City Connect Swatch Collection,CC2-BE,Blue,false,150,Brooks Lee
City Connect Swatch Collection,CC2-BE,Gold,false,50,Brooks Lee
City Connect Swatch Collection,CC2-BE,Orange,false,25,Brooks Lee
City Connect Swatch Collection,CC2-BE,Black,false,10,Brooks Lee
City Connect Swatch Collection,CC2-BE,Red,false,5,Brooks Lee
City Connect Swatch Collection,CC2-BE,Platinum,false,1,Brooks Lee
City Connect Swatch Collection,CC2-BH,Base,false,,Bryce Harper
City Connect Swatch Collection,CC2-BH,Blue,false,150,Bryce Harper
City Connect Swatch Collection,CC2-BH,Gold,false,50,Bryce Harper
City Connect Swatch Collection,CC2-BH,Orange,false,25,Bryce Harper
City Connect Swatch Collection,CC2-BH,Black,false,10,Bryce Harper
City Connect Swatch Collection,CC2-BH,Red,false,5,Bryce Harper
City Connect Swatch Collection,CC2-BH,Platinum,false,1,Bryce Harper
City Connect Swatch Collection,CC2-BL,Base,false,,Brandon Lowe
City Connect Swatch Collection,CC2-BL,Blue,false,150,Brandon Lowe
City Connect Swatch Collection,CC2-BL,Gold,false,50,Brandon Lowe
City Connect Swatch Collection,CC2-BL,Orange,false,25,Brandon Lowe
City Connect Swatch Collection,CC2-BL,Black,false,10,Brandon Lowe
City Connect Swatch Collection,CC2-BL,Red,false,5,Brandon Lowe
City Connect Swatch Collection,CC2-BL,Platinum,false,1,Brandon Lowe
City Connect Swatch Collection,CC2-BS,Base,false,,Bryson Stott
City Connect Swatch Collection,CC2-BS,Blue,false,150,Bryson Stott
City Connect Swatch Collection,CC2-BS,Gold,false,50,Bryson Stott
City Connect Swatch Collection,CC2-BS,Orange,false,25,Bryson Stott
City Connect Swatch Collection,CC2-BS,Black,false,10,Bryson Stott
City Connect Swatch Collection,CC2-BS,Red,false,5,Bryson Stott
City Connect Swatch Collection,CC2-BS,Platinum,false,1,Bryson Stott
City Connect Swatch Collection,CC2-DS,Base,false,,Davis Schneider
City Connect Swatch Collection,CC2-DS,Blue,false,150,Davis Schneider
City Connect Swatch Collection,CC2-DS,Gold,false,50,Davis Schneider
City Connect Swatch Collection,CC2-DS,Orange,false,25,Davis Schneider
City Connect Swatch Collection,CC2-DS,Black,false,10,Davis Schneider
City Connect Swatch Collection,CC2-DS,Red,false,5,Davis Schneider
City Connect Swatch Collection,CC2-DS,Platinum,false,1,Davis Schneider
City Connect Swatch Collection,CC2-ET,Base,false,,Ezequiel Tovar
City Connect Swatch Collection,CC2-ET,Blue,false,150,Ezequiel Tovar
City Connect Swatch Collection,CC2-ET,Gold,false,50,Ezequiel Tovar
City Connect Swatch Collection,CC2-ET,Orange,false,25,Ezequiel Tovar
City Connect Swatch Collection,CC2-ET,Black,false,10,Ezequiel Tovar
